record_id,timestamp,O,T,L,S,C,M
0,2017-12-22T10:49:41,1,0,1,2,1,0
1,2017-12-22T10:50:12,1,0,1,2,1,0
2,2017-12-22T10:50:42,1,0,1,2,1,0
3,2017-12-22T10:51:13,1,0,1,2,1,0
4,2017-12-22T10:51:44,1,0,1,2,1,0
5,2017-12-22T10:52:14,1,0,1,2,1,0
6,2017-12-22T10:52:45,1,0,1,2,1,1
7,2017-12-22T10:53:15,1,0,1,1,1,0
8,2017-12-22T10:53:46,1,0,1,2,1,0
9,2017-12-22T10:54:17,1,0,1,2,1,1
10,2017-12-22T10:54:47,1,0,1,2,1,1
11,2017-12-22T10:55:18,1,0,1,2,1,1
12,2017-12-22T10:55:49,1,0,1,2,1,1
13,2017-12-22T10:56:19,1,0,1,2,1,1
14,2017-12-22T10:56:50,1,0,1,2,1,1
15,2017-12-22T10:57:21,1,0,1,2,1,1
16,2017-12-22T10:57:51,1,0,1,2,1,0
17,2017-12-22T10:58:22,1,0,1,2,1,1
18,2017-12-22T10:58:52,1,0,1,2,1,1
19,2017-12-22T10:59:23,1,0,1,2,1,0
20,2017-12-22T10:59:54,1,0,1,2,1,0
21,2017-12-22T11:00:24,1,0,1,2,1,0
22,2017-12-22T11:00:55,1,0,1,1,1,0
23,2017-12-22T11:01:26,1,0,1,2,1,0
24,2017-12-22T11:01:56,1,0,1,2,1,0
25,2017-12-22T11:02:27,1,0,1,2,1,1
26,2017-12-22T11:02:58,1,0,1,2,1,1
27,2017-12-22T11:03:28,1,0,1,2,2,1
28,2017-12-22T11:03:59,1,0,1,2,2,1
29,2017-12-22T11:04:29,1,0,1,2,1,1
30,2017-12-22T11:05:00,1,0,1,2,1,0
31,2017-12-22T11:05:31,1,0,1,2,1,0
32,2017-12-22T11:06:01,1,0,1,2,2,1
33,2017-12-22T11:06:32,1,0,1,2,2,0
34,2017-12-22T11:07:03,1,0,1,1,1,0
35,2017-12-22T11:07:33,1,0,1,2,2,0
36,2017-12-22T11:08:04,1,0,1,2,2,0
37,2017-12-22T11:08:35,1,0,1,0,2,0
38,2017-12-22T11:09:05,1,0,1,0,2,0
39,2017-12-22T11:09:36,1,0,1,1,2,0
40,2017-12-22T11:10:06,1,0,1,2,2,0
41,2017-12-22T11:10:37,1,0,1,2,2,0
42,2017-12-22T11:11:08,1,0,1,2,2,0
43,2017-12-22T11:11:38,1,0,1,2,2,1
44,2017-12-22T11:12:09,1,0,1,2,2,0
45,2017-12-22T11:12:40,1,0,1,2,2,0
46,2017-12-22T11:13:10,1,0,1,2,2,0
47,2017-12-22T11:13:41,1,0,1,2,2,1
48,2017-12-22T11:14:12,1,0,1,2,2,0
49,2017-12-22T11:14:42,1,0,1,1,2,0
50,2017-12-22T11:15:13,1,0,1,2,2,0
51,2017-12-22T11:15:43,1,0,1,1,2,0
52,2017-12-22T11:16:14,1,0,1,2,2,1
53,2017-12-22T11:16:45,1,0,1,2,2,0
54,2017-12-22T11:17:15,1,0,1,2,2,1
55,2017-12-22T11:17:46,1,0,1,2,2,0
56,2017-12-22T11:18:17,1,0,1,2,2,0
57,2017-12-22T11:18:47,1,0,1,2,2,0
58,2017-12-22T11:19:18,1,0,1,2,2,0
59,2017-12-22T11:19:49,1,0,1,2,2,0
60,2017-12-22T11:20:19,1,0,1,2,2,0
61,2017-12-22T11:20:50,1,0,1,2,2,1
62,2017-12-22T11:21:20,1,0,1,2,2,0
63,2017-12-22T11:21:51,1,0,1,2,2,1
64,2017-12-22T11:22:22,1,0,1,2,2,0
65,2017-12-22T11:22:52,1,0,1,2,2,0
66,2017-12-22T11:23:23,1,0,1,2,2,0
67,2017-12-22T11:23:54,1,0,1,2,2,0
68,2017-12-22T11:24:24,1,0,1,2,2,0
69,2017-12-22T11:24:55,1,0,1,2,2,0
70,2017-12-22T11:25:25,1,0,1,2,2,0
71,2017-12-22T11:25:56,1,0,1,2,2,1
72,2017-12-22T11:26:27,1,0,1,2,2,1
73,2017-12-22T11:27:28,1,0,1,2,2,1
74,2017-12-22T11:27:59,1,1,1,2,2,1
75,2017-12-22T11:28:29,1,1,1,2,2,1
76,2017-12-22T11:29:00,1,1,1,2,2,1
77,2017-12-22T11:29:31,1,1,1,2,2,1
78,2017-12-22T11:30:01,1,1,1,2,2,1
79,2017-12-22T11:30:32,1,1,1,2,2,1
80,2017-12-22T11:31:02,1,1,1,2,2,1
81,2017-12-22T11:31:33,1,1,1,2,2,1
82,2017-12-22T11:32:04,1,1,1,2,2,1
83,2017-12-22T11:32:34,1,1,1,2,2,1
84,2017-12-22T11:33:05,1,1,1,2,2,0
85,2017-12-22T11:33:36,1,1,1,2,2,1
86,2017-12-22T11:34:06,1,1,1,2,2,1
87,2017-12-22T11:34:37,1,1,1,2,2,1
88,2017-12-22T11:35:08,1,1,1,2,2,1
89,2017-12-22T11:35:38,1,1,1,2,2,1
90,2017-12-22T11:36:09,1,1,1,2,2,1
91,2017-12-22T11:36:39,1,1,1,2,2,0
92,2017-12-22T11:39:13,1,1,1,2,2,1
93,2017-12-22T11:39:43,1,1,1,2,2,1
94,2017-12-22T11:40:14,1,1,1,2,2,1
95,2017-12-22T11:40:45,1,1,1,2,2,1
96,2017-12-22T11:41:15,1,1,1,2,2,1
97,2017-12-22T11:41:46,1,1,1,2,2,1
98,2017-12-22T11:42:16,1,1,1,2,2,1
99,2017-12-22T11:42:47,1,1,1,2,2,0
100,2017-12-22T11:43:18,1,1,1,2,2,1
101,2017-12-22T11:43:48,1,1,1,2,2,1
102,2017-12-22T11:44:19,1,1,1,2,2,1
103,2017-12-22T11:44:50,1,1,1,2,2,0
104,2017-12-22T11:45:20,1,1,1,2,2,1
105,2017-12-22T11:45:51,1,1,1,2,2,0
106,2017-12-22T11:46:22,1,1,1,2,2,1
107,2017-12-22T11:46:52,1,1,1,2,2,1
108,2017-12-22T11:47:23,1,1,1,2,2,1
109,2017-12-22T11:47:53,1,1,1,2,2,1
110,2017-12-22T11:48:24,1,1,1,2,2,1
111,2017-12-22T11:48:55,1,1,1,2,2,1
112,2017-12-22T11:49:25,1,1,1,2,2,1
113,2017-12-22T11:49:56,1,1,1,2,2,0
114,2017-12-22T11:50:27,1,1,1,2,2,0
115,2017-12-22T11:50:57,1,1,1,2,2,0
116,2017-12-22T11:51:28,1,1,1,2,2,1
117,2017-12-22T11:51:59,1,1,1,2,2,1
118,2017-12-22T11:52:29,1,1,1,2,2,1
119,2017-12-22T11:53:00,1,1,1,2,2,1
120,2017-12-22T11:53:30,1,1,1,2,2,1
121,2017-12-22T11:54:01,1,1,1,2,2,1
122,2017-12-22T11:54:32,1,1,1,2,2,1
123,2017-12-22T11:55:02,1,1,1,2,2,1
124,2017-12-22T11:55:33,1,1,1,2,2,1
125,2017-12-22T11:56:04,1,1,1,2,2,1
126,2017-12-22T11:56:34,1,1,1,2,2,1
127,2017-12-22T11:57:05,1,1,1,2,2,1
128,2017-12-22T11:57:36,1,2,1,2,2,1
129,2017-12-22T11:58:06,1,2,1,2,2,1
130,2017-12-22T11:58:37,1,2,1,2,2,1
131,2017-12-22T11:59:07,1,2,1,2,2,1
132,2017-12-22T11:59:38,1,2,1,2,2,1
133,2017-12-22T12:00:09,1,2,1,2,2,1
134,2017-12-22T12:00:39,1,2,1,2,2,0
135,2017-12-22T12:01:10,1,2,1,2,2,0
136,2017-12-22T12:01:41,1,2,1,1,2,0
137,2017-12-22T12:02:11,1,2,1,1,2,0
138,2017-12-22T12:02:42,1,2,1,2,2,0
139,2017-12-22T12:03:12,1,2,1,2,2,1
140,2017-12-22T12:03:43,1,2,1,2,2,1
141,2017-12-22T12:04:14,1,2,1,2,2,0
142,2017-12-22T12:04:44,1,2,1,2,2,1
143,2017-12-22T12:05:15,1,2,1,2,2,1
144,2017-12-22T12:05:46,1,2,1,2,2,1
145,2017-12-22T12:06:16,1,2,1,2,2,1
146,2017-12-22T12:06:47,1,2,1,2,2,1
147,2017-12-22T12:07:18,1,2,1,2,2,1
148,2017-12-22T12:07:48,1,2,1,2,2,0
149,2017-12-22T12:08:19,1,2,1,2,2,1
150,2017-12-22T12:08:49,1,2,1,0,2,0
151,2017-12-22T12:09:20,1,2,1,2,2,0
152,2017-12-22T12:09:51,1,2,1,2,2,1
153,2017-12-22T12:10:21,1,2,1,2,2,1
154,2017-12-22T12:10:52,1,2,1,2,2,1
155,2017-12-22T12:11:23,1,2,1,2,2,0
156,2017-12-22T12:11:53,1,2,1,2,2,1
157,2017-12-22T12:12:24,1,2,1,2,2,1
158,2017-12-22T12:12:55,1,2,1,2,2,1
159,2017-12-22T12:13:25,1,2,1,2,2,1
160,2017-12-22T12:13:56,1,2,1,2,2,1
161,2017-12-22T12:14:26,1,2,1,2,2,1
162,2017-12-22T12:14:57,1,2,1,2,2,0
163,2017-12-22T12:15:28,1,2,1,2,2,1
164,2017-12-22T12:15:58,1,2,1,2,2,1
165,2017-12-22T12:16:29,1,2,1,2,2,1
166,2017-12-22T12:17:00,1,2,1,2,2,1
167,2017-12-22T12:17:30,1,2,1,2,2,1
168,2017-12-22T12:18:01,1,2,1,2,2,1
169,2017-12-22T12:18:32,1,2,1,2,2,1
170,2017-12-22T12:19:02,1,2,1,2,2,1
171,2017-12-22T12:19:33,1,2,1,2,2,1
172,2017-12-22T12:20:03,1,2,1,2,2,1
173,2017-12-22T12:20:34,1,2,1,2,2,1
174,2017-12-22T12:21:05,1,2,1,2,2,1
175,2017-12-22T12:21:35,1,2,1,2,2,0
176,2017-12-22T12:22:06,1,2,1,2,2,1
177,2017-12-22T12:22:37,1,2,1,2,2,1
178,2017-12-22T12:23:38,1,2,1,2,2,0
179,2017-12-22T12:24:09,1,2,1,2,2,0
180,2017-12-22T12:24:39,1,2,1,2,2,1
181,2017-12-22T12:25:10,1,2,1,2,2,1
182,2017-12-22T12:25:40,1,2,1,2,2,0
183,2017-12-22T12:26:11,1,2,1,2,2,0
184,2017-12-22T12:26:42,1,2,1,1,2,0
185,2017-12-22T12:27:12,1,2,1,1,2,0
186,2017-12-22T12:27:43,1,2,1,2,2,0
187,2017-12-22T12:28:14,1,2,1,2,2,0
188,2017-12-22T12:28:44,1,2,1,2,2,1
189,2017-12-22T12:29:15,1,2,1,2,2,1
190,2017-12-22T12:29:46,1,2,1,2,2,1
191,2017-12-22T12:30:16,1,2,1,2,2,1
192,2017-12-22T12:30:47,1,2,1,2,2,1
193,2017-12-22T12:31:17,1,2,1,2,2,1
194,2017-12-22T12:31:48,1,2,1,2,2,1
195,2017-12-22T12:32:19,1,2,1,2,2,1
196,2017-12-22T12:32:49,1,2,1,2,2,1
197,2017-12-22T12:33:20,1,2,1,2,2,1
198,2017-12-22T12:33:51,1,2,1,2,2,1
199,2017-12-22T12:34:21,1,2,1,2,2,1
200,2017-12-22T12:34:52,1,2,1,2,2,1
201,2017-12-22T12:35:22,1,2,1,2,2,1
202,2017-12-22T12:35:53,1,2,1,2,2,1
203,2017-12-22T12:36:24,1,2,1,2,2,1
204,2017-12-22T12:36:54,1,2,1,2,2,1
205,2017-12-22T12:37:25,1,2,1,2,2,1
206,2017-12-22T12:37:56,1,2,1,2,2,1
207,2017-12-22T12:38:26,1,2,1,2,2,1
208,2017-12-22T12:38:57,1,2,1,2,2,1
209,2017-12-22T12:39:28,1,2,1,2,2,1
210,2017-12-22T12:39:58,1,2,1,2,2,1
211,2017-12-22T12:40:29,1,2,1,2,2,1
212,2017-12-22T12:40:59,1,2,1,2,2,1
213,2017-12-22T12:41:30,1,2,1,2,2,1
214,2017-12-22T12:42:01,1,2,1,2,2,1
215,2017-12-22T12:42:31,1,2,1,2,2,1
216,2017-12-22T13:08:03,1,2,1,2,2,1
217,2017-12-22T13:08:34,1,2,1,2,2,1
218,2017-12-22T13:09:04,1,2,1,2,2,1
219,2017-12-22T13:09:35,1,2,1,2,2,1
220,2017-12-22T13:10:06,1,2,1,2,2,1
221,2017-12-22T13:10:36,1,2,1,2,2,1
222,2017-12-22T13:11:07,1,2,1,2,2,1
223,2017-12-22T13:11:38,1,2,1,2,2,1
224,2017-12-22T13:12:08,1,2,1,2,2,1
225,2017-12-22T13:12:39,1,2,1,2,2,1
226,2017-12-22T13:13:09,1,2,1,2,2,1
227,2017-12-22T13:13:40,1,2,1,2,2,1
228,2017-12-22T13:14:11,1,2,1,2,2,1
229,2017-12-22T13:14:41,1,2,1,2,2,1
230,2017-12-22T13:15:12,1,2,1,2,2,1
231,2017-12-22T13:15:43,1,2,1,2,2,1
232,2017-12-22T13:16:13,1,2,1,2,2,1
233,2017-12-22T13:16:44,1,2,1,2,2,0
234,2017-12-22T13:17:15,1,2,1,2,2,1
235,2017-12-22T13:17:45,1,2,1,2,2,1
236,2017-12-22T13:18:16,1,2,1,2,2,1
237,2017-12-22T13:19:17,1,2,1,2,2,1
238,2017-12-22T13:19:48,1,2,1,2,2,1
239,2017-12-22T13:20:18,1,2,1,2,2,1
240,2017-12-22T13:20:49,1,2,1,2,2,1
241,2017-12-22T13:21:20,1,2,1,2,2,1
242,2017-12-22T13:21:50,1,2,1,2,2,1
243,2017-12-22T13:22:21,1,2,1,2,2,1
244,2017-12-22T13:22:52,1,2,1,2,2,1
245,2017-12-22T13:23:22,1,2,1,2,2,1
246,2017-12-22T13:23:53,1,2,1,2,2,1
247,2017-12-22T13:24:23,1,2,1,2,2,1
248,2017-12-22T13:24:54,1,2,1,2,2,1
249,2017-12-22T13:25:25,1,2,1,2,2,1
250,2017-12-22T13:25:55,1,2,1,2,2,0
251,2017-12-22T13:26:26,1,2,1,2,2,1
252,2017-12-22T13:26:57,1,2,1,2,2,1
253,2017-12-22T13:27:27,1,2,1,2,2,0
254,2017-12-22T13:27:58,1,2,1,2,2,0
255,2017-12-22T13:28:28,1,2,1,1,2,1
256,2017-12-22T13:28:59,1,2,1,2,2,1
257,2017-12-22T13:29:30,1,2,1,2,2,1
258,2017-12-22T13:30:00,1,2,1,2,2,1
259,2017-12-22T13:30:31,1,2,1,2,2,1
260,2017-12-22T13:31:02,1,2,1,2,2,1
261,2017-12-22T13:32:03,1,2,1,2,2,1
262,2017-12-22T13:32:34,1,2,1,2,2,1
263,2017-12-22T13:33:04,1,2,1,2,2,1
264,2017-12-22T13:33:35,1,2,1,2,2,1
265,2017-12-22T13:34:05,1,2,1,2,2,1
266,2017-12-22T13:34:36,1,2,1,2,2,1
267,2017-12-22T13:35:07,1,2,1,2,2,1
268,2017-12-22T13:35:37,1,2,1,2,2,1
269,2017-12-22T13:36:08,1,2,1,2,2,1
270,2017-12-22T13:36:39,1,2,1,2,2,1
271,2017-12-22T13:37:09,1,2,1,2,2,1
272,2017-12-22T13:37:40,1,2,1,2,2,1
273,2017-12-22T13:38:11,1,2,1,2,2,1
274,2017-12-22T13:38:41,1,2,1,2,2,1
275,2017-12-22T13:39:12,1,2,1,2,2,1
276,2017-12-22T13:39:42,1,2,1,2,2,1
277,2017-12-22T13:40:13,1,2,1,2,2,1
278,2017-12-22T13:40:44,1,2,1,2,2,1
279,2017-12-22T13:41:14,1,2,1,2,2,1
280,2017-12-22T13:41:45,1,2,1,2,2,1
281,2017-12-22T13:42:16,1,2,1,2,2,1
282,2017-12-22T13:42:46,1,2,1,2,2,1
283,2017-12-22T13:43:17,1,2,1,2,2,1
284,2017-12-22T13:43:48,1,2,1,2,2,1
285,2017-12-22T13:44:18,1,2,1,2,2,1
286,2017-12-22T13:44:49,1,2,1,2,2,1
287,2017-12-22T13:45:19,1,2,1,2,2,1
288,2017-12-22T13:45:50,1,2,1,2,2,0
289,2017-12-22T13:46:21,1,2,1,2,2,0
290,2017-12-22T13:46:51,1,2,1,2,2,1
291,2017-12-22T13:47:22,1,2,1,2,2,1
292,2017-12-22T13:47:53,1,2,1,2,2,1
293,2017-12-22T13:48:23,1,2,1,2,2,1
294,2017-12-22T13:48:54,1,2,1,2,2,1
295,2017-12-22T13:49:25,1,2,1,2,2,1
296,2017-12-22T13:49:55,1,2,1,2,2,1
297,2017-12-22T13:50:26,1,2,1,2,2,1
298,2017-12-22T13:50:56,1,2,1,2,2,1
299,2017-12-22T13:51:27,1,2,1,2,2,1
300,2017-12-22T13:51:58,1,2,1,2,2,1
301,2017-12-22T13:52:28,1,2,1,2,2,0
302,2017-12-22T13:52:59,1,2,1,2,2,1
303,2017-12-22T13:53:30,1,2,1,2,2,1
304,2017-12-22T13:54:00,1,2,1,2,2,1
305,2017-12-22T13:54:31,1,2,1,2,2,1
306,2017-12-22T13:55:02,1,2,1,2,2,1
307,2017-12-22T13:55:32,1,2,1,2,2,1
308,2017-12-22T13:56:03,1,2,1,2,2,1
309,2017-12-22T13:56:33,1,2,1,2,2,1
310,2017-12-22T13:57:04,1,2,1,2,2,1
311,2017-12-22T13:57:35,1,2,1,2,2,0
312,2017-12-22T13:58:05,1,2,1,2,2,1
313,2017-12-22T13:58:36,1,2,1,2,2,1
314,2017-12-22T13:59:07,1,2,1,2,2,0
315,2017-12-22T13:59:37,1,2,1,2,2,0
316,2017-12-22T14:00:08,1,2,1,2,2,0
317,2017-12-22T14:00:38,1,2,1,2,2,1
318,2017-12-22T14:01:09,1,2,1,2,2,1
319,2017-12-22T14:01:40,1,2,1,2,2,1
320,2017-12-22T14:02:10,1,2,1,2,2,1
321,2017-12-22T14:02:41,1,2,1,2,2,1
322,2017-12-22T14:03:12,1,2,1,2,2,1
323,2017-12-22T14:03:42,1,2,1,2,2,0
324,2017-12-22T14:04:13,1,2,1,2,2,0
325,2017-12-22T14:04:44,1,2,1,2,2,0
326,2017-12-22T14:05:14,1,2,1,2,2,1
327,2017-12-22T14:05:45,1,2,1,2,2,1
328,2017-12-22T14:06:15,1,2,1,2,2,1
329,2017-12-22T14:06:46,1,2,1,2,2,1
330,2017-12-22T14:07:17,1,2,1,2,2,1
331,2017-12-22T14:07:47,1,2,1,2,2,1
332,2017-12-22T14:08:18,1,2,1,2,2,1
333,2017-12-22T14:08:49,1,2,1,2,2,0
334,2017-12-22T14:09:19,1,2,1,2,2,1
335,2017-12-22T14:09:50,1,2,1,2,2,1
336,2017-12-22T14:10:21,1,2,1,2,2,0
